ID,Category,Article,Quantity,Expiry_date,Deleted
1,Mehl,Weizen VK,,2109,0
2,Mehl,Weizen VK,2,2110,0
3,Mehl,Weizen 1050,,2107,0
4,Mehl,Roggen VK,3,2110,0
5,Mehl,Weizen 550,2,2110,0
6,Mehl,Dinkel 1050,,2111,0
7,Pasta,Spirelli Bio,16,2309,0
8,Pasta,Penne Bio,4,2309,0
9,Öl,Brat,2,2110,0
10,Öl,Oliven,3,2110,0
11,Pasta,Penne,4,2211,0
12,Pasta,Lasagne,,2210,0
13,Anderes,Falafel,2,2111,0
14,Anderes,Falafel,1,2109,0
15,Haushalt,Shampoo,3,,0
16,Haushalt,Seife flüssig,7,,0
17,Haushalt,Dusche,5,,0
18,Haushalt,Geschirreiniger 65 Stück,,,0
19,Haushalt,Salz 2 kg,,,0
20,Haushalt,Badreiniger,3,,0
21,Haushalt,Backpapier 30 Blatt,4,,0
22,Schokolade,Schokolade 85% 125g,7,2210,0
23,Haushalt,"Wolle 1,5l",,,0
24,Haushalt,TP 8 Rollen,1,,0
25,Haushalt,"Color 1,1l",2,,0
26,Getränke,Rosé Limonade,5,2202,0
27,Haushalt,Klarspüler,,,0
28,Haushalt,Pants 34 Stück,2,,0
29,Haushalt,Dove Seife fest,1,,0
30,Haushalt,Vådservietter 100,3,,0
31,Haushalt,Stahlpads 10 Stück,,,0
32,Haushalt,WC-Reiniger,2,,0
33,Haushalt,Toilettenbürsten,6,,0
34,Haushalt,Linsevæske,3,,0
35,Haushalt,Braun cartridge,9,,0
36,Haushalt,Soda Bicarbonat,,,0
37,Haushalt,Stahlpads 11 Stück,,,0
38,Haushalt,Kaffefilter 200 Stück,,,0
39,Haushalt,Skurepulver,,,0
40,Haushalt,Savon de Marseille Block,,,0
41,Haushalt,Venus 3 Klingen,,,0
42,Haushalt,Isana 4 Klingen,,,0
43,Getränke,Zubrowka,,,0
44,Getränke,Glen Grant,,,0
45,Getränke,Bacardi White,3,,0
46,Getränke,Sirop de fraise,,2109,0
47,Getränke,Pineau,,,0
48,Getränke,Martini,,,0
49,Anderes,Kalamon Oliven,1,2203,0
50,Pastasauce,Ricotta Pecorino,4,2303,0
51,Pastasauce,Klassik,,2206,0
52,Pastasauce,Vegane Bolognese,3,2206,0
53,Pastasauce,Vegane Bolognese,9,2211,0
54,Pastasauce,Trio poivrons aubergines,,2201,0
55,Pastasauce,Gorgonzola oignons doux,,2207,0
56,Pastasauce,Pesto truffe,1,2207,0
57,Pastasauce,Pesto rosso pecorino amandes,2,2201,0
58,Sauce,Pesto Basilico,,2211,0
59,Sauce,Pesto Basilico,4,2205,0
60,Sauce,Curry-Kokos,2,2107,0
61,Sauce,Pesto Rosso,4,2203,0
62,Sauce,Sonnengetr. Tomaten,4,2303,0
63,Sauce,Taco hot,,2206,0
64,Sauce,Dijon original,,2107,0
65,Sauce,Tex-Mex,,2103,0
66,Sauce,Thai Curry,,2206,0
67,Sauce,Indisch Curry,,2207,0
68,Sauce,Süss-sauer,,2206,0
69,Anderes,Haricots cuisinées 800g,,2407,0
70,Anderes,Aubergines Cassegrain 600g,,,0
71,Anderes,Thon vinaigre 110g,1,2207,0
72,Anderes,Saumon citron 110g,,2305,0
73,Anderes,,,,0
74,Makrele,Aneth gout fumé,2,2304,0
75,Makrele,Moutarde 226g,,2202,0
76,Makrele,Catalane,,2103,0
77,Makrele,Catalane,,2106,0
78,Makrele,Cidre,2,2203,0
79,Makrele,Cidre,4,2204,0
80,Makrele,Citron olive,2,2210,0
81,Makrele,Citron olive,,2304,0
82,Makrele,Citron olive,2,2303,0
83,Makrele,Mexicaine,,2305,0
84,Makrele,Citron romarin,2,2211,0
85,Makrele,Citron romarin,,2205,0
86,Makrele,Citron romarin,,2203,0
87,Makrele,vin blanc aromates pt nav,3,2203,0
88,Makrele,moutarde,1,2306,0
89,Makrele,vin blanc aromates saupiq,2,2305,0
90,Schokolade,Marabou Daim,,2106,0
91,Schokolade,Marabou black saltlakrits,2,2104,0
92,Schokolade,Marabou schweizer nött,,2103,0
93,Anderes,Gummibärchen 200g,,2105,0
94,Schokolade,Rittersport Edel-Vollmilch,,2104,0
95,Schokolade,Milka Zartherb,,2103,0
96,Schokolade,Toblerone 100g,,2106,0
97,Anderes,Bjorg choco noir,,2105,0
98,Schokolade,Lindt caramel sea salt,,2104,0
99,Schokolade,Nestle caramel,,2106,0
100,Schokolade,Lindt sea salt,,2104,0
101,Anderes,Rillettes de lotte,,2208,0
102,Pasta,Ravioli legumes 675g,2,2304,0
103,Öl,"Balsamico 0,5l",2,2301,0
104,Öl,"Balsamico 0,5l",2,2303,0
105,Öl,"Balsamico 0,5l",2,2208,0
106,Anderes,Apfelkompott 700g,,2112,0
107,Getränke,"FT Indian Tonic 0,5l",2,2109,0
108,Getränke,"FT Mediterranean Tonic 0,5l",,2111,0
109,Linsen,Rot 500g,2,2207,0
110,Linsen,Berg 500g,,2103,0
111,Linsen,Berg 500g,,1912,0
112,Linsen,Beluga 500g,,2011,0
113,Getränke,"La Bete 0,33l",2,2110,0
114,Getränke,Vranken,2,,0
115,Haushalt,Küchenrolle (einzelne Rollen),14,,0
116,Anderes,Bohnen 1 kilo,,2108,0
117,Haushalt,Roche-Posay 400ml,,,0
118,Getränke,Durand Brut,,,0
119,Pastasauce,Passata,2,2212,0
120,Haushalt,Bio Abfalltüten,3,,0
121,Haushalt,Roche-Posay trousse,,,0
122,Haushalt,Fnugrulle,,,0
123,Haushalt ,Sekundenkleber,,,0
124,Haushalt ,Windeln ,,,0
125,Haushalt ,Feuerzeuggas,,,0
126,Getränke ,Apfelsaft,2,2109,0
127,Getränke ,Orangensaft ,3,2111,0
128,Getränke ,Fiano,2,,0
129,Getränke ,Tator,4,,0
130,Haushalt ,Roche-Posay seife ,,,0
131,Haushalt ,Face wash,2,,0
132,Haushalt ,face cream,2,,0
133,Haushalt ,ståluld ,,,0
134,Haushalt ,Håndsprit,,,0
135,Haushalt ,Nivea ,2,,0
136,Haushalt ,Handcreme,2,,0
137,Haushalt ,Color waschmittel 900 ml,,,0
